 ,Label,Area,Mean,X,Y
1,PA99N82-4__Katahdin__1.jpg,0,198,250.333,1685
2,PA99N82-4__Katahdin__1.jpg,0,193,249,1647.667
3,PA99N82-4__Katahdin__1.jpg,0,196,303.667,1602.333
4,PA99N82-4__Katahdin__1.jpg,0,199,291.667,1714.333
5,PA99N82-4__Katahdin__1.jpg,0,200,305,1907.667
6,PA99N82-4__Katahdin__1.jpg,0,199,258.333,2029
7,PA99N82-4__Katahdin__1.jpg,0,198,483.667,2105
8,PA99N82-4__Katahdin__1.jpg,0,198,446.333,2058.333
9,PA99N82-4__Katahdin__1.jpg,0,198,542.333,2117
10,PA99N82-4__Katahdin__1.jpg,0,201,570.333,2170.333
11,PA99N82-4__Katahdin__1.jpg,0,198,563.667,2186.333
12,PA99N82-4__Katahdin__1.jpg,0,199,662.333,2218.333
13,PA99N82-4__Katahdin__1.jpg,0,200,719.667,2205
14,PA99N82-4__Katahdin__1.jpg,0,199,770.333,2149
15,PA99N82-4__Katahdin__1.jpg,0,208,854.333,2065
16,PA99N82-4__Katahdin__1.jpg,0,207,929,2062.333
17,PA99N82-4__Katahdin__1.jpg,0,207,929,2170.333
18,PA99N82-4__Katahdin__1.jpg,0,205,946.333,2247.667
19,PA99N82-4__Katahdin__1.jpg,0,207,898.333,2282.333
20,PA99N82-4__Katahdin__1.jpg,0,202,765,2247.667
21,PA99N82-4__Katahdin__1.jpg,0,198,597,2274.333
22,PA99N82-4__Katahdin__1.jpg,0,198,465,2305
23,PA99N82-4__Katahdin__1.jpg,0,198,433,2310.333
24,PA99N82-4__Katahdin__1.jpg,0,196,447.667,2259.667
25,PA99N82-4__Katahdin__1.jpg,0,196,506.333,2273
26,PA99N82-4__Katahdin__1.jpg,0,199,517,2291.667
27,PA99N82-4__Katahdin__1.jpg,0,196,490.333,2318.333
28,PA99N82-4__Katahdin__1.jpg,0,195,442.333,2311.667
29,PA99N82-4__Katahdin__1.jpg,0,199,411.667,2291.667
30,PA99N82-4__Katahdin__1.jpg,0,200,486.333,2361
31,PA99N82-4__Katahdin__1.jpg,0,182,510.333,2375.667
32,PA99N82-4__Katahdin__1.jpg,0,200,497,2429
33,PA99N82-4__Katahdin__1.jpg,0,201,541,2413
34,PA99N82-4__Katahdin__1.jpg,0,199,598.333,2345
35,PA99N82-4__Katahdin__1.jpg,0,198,686.333,2323.667
36,PA99N82-4__Katahdin__1.jpg,0,201,737,2410.333
37,PA99N82-4__Katahdin__1.jpg,0,205,805,2441
38,PA99N82-4__Katahdin__1.jpg,0,210,891.667,2426.333
39,PA99N82-4__Katahdin__1.jpg,0,209,973,2330.333
40,PA99N82-4__Katahdin__1.jpg,0,207,1083.667,2247.667
41,PA99N82-4__Katahdin__1.jpg,0,204,1127.667,2197
42,PA99N82-4__Katahdin__1.jpg,0,209,1166.333,2069
43,PA99N82-4__Katahdin__1.jpg,0,209,1186.333,1974.333
44,PA99N82-4__Katahdin__1.jpg,0,209,1206.333,1963.667
45,PA99N82-4__Katahdin__1.jpg,0,211,1306.333,1815.667
46,PA99N82-4__Katahdin__1.jpg,0,209,1379.667,1653
47,PA99N82-4__Katahdin__1.jpg,0,207,1426.333,1533
48,PA99N82-4__Katahdin__1.jpg,0,212,2186,2416.333
49,PA99N82-4__Katahdin__1.jpg,0,213,2258,2464.333
50,PA99N82-4__Katahdin__1.jpg,0,216,2392.667,2468.333
51,PA99N82-4__Katahdin__1.jpg,0,221,2484.667,2444.333
52,PA99N82-4__Katahdin__1.jpg,0,218,2498,2472.333
53,PA99N82-4__Katahdin__1.jpg,0,218,2520.667,2532.333
54,PA99N82-4__Katahdin__1.jpg,0,218,2528.667,2568.333
55,PA99N82-4__Katahdin__1.jpg,0,220,2524.667,2611
56,PA99N82-4__Katahdin__1.jpg,0,220,2532.667,2663
57,PA99N82-4__Katahdin__1.jpg,0,221,2538,2713.667
58,PA99N82-4__Katahdin__1.jpg,0,220,2531.333,2759
59,PA99N82-4__Katahdin__1.jpg,0,220,2527.333,2788.333
60,PA99N82-4__Katahdin__1.jpg,0,219,2435.333,2776.333
61,PA99N82-4__Katahdin__1.jpg,0,215,2330,2743
62,PA99N82-4__Katahdin__1.jpg,0,215,2296.667,2732.333
63,PA99N82-4__Katahdin__1.jpg,0,215,2307.333,2708.333
64,PA99N82-4__Katahdin__1.jpg,0,213,2311.333,2637.667
65,PA99N82-4__Katahdin__1.jpg,0,211,2284.667,2629.667
66,PA99N82-4__Katahdin__1.jpg,0,212,2244.667,2621.667
67,PA99N82-4__Katahdin__1.jpg,0,211,2195.333,2596.333
68,PA99N82-4__Katahdin__1.jpg,0,211,2139.333,2627
69,PA99N82-4__Katahdin__1.jpg,0,211,2070,2659
70,PA99N82-4__Katahdin__1.jpg,0,209,2040.667,2637.667
71,PA99N82-4__Katahdin__1.jpg,0,207,2055.333,2609.667
72,PA99N82-4__Katahdin__1.jpg,0,212,2106,2591
73,PA99N82-4__Katahdin__1.jpg,0,211,2140.667,2563
74,PA99N82-4__Katahdin__1.jpg,0,209,2128.667,2520.333
75,PA99N82-4__Katahdin__1.jpg,0,209,2090,2484.333
76,PA99N82-4__Katahdin__1.jpg,0,210,2060.667,2479
77,PA99N82-4__Katahdin__1.jpg,0,209,1990,2444.333
78,PA99N82-4__Katahdin__1.jpg,0,211,1975.333,2421.667
79,PA99N82-4__Katahdin__1.jpg,0,211,1950,2427
80,PA99N82-4__Katahdin__1.jpg,0,205,1890,2449.667
81,PA99N82-4__Katahdin__1.jpg,0,210,1892.667,2480.333
82,PA99N82-4__Katahdin__1.jpg,0,210,1883.333,2493.667
83,PA99N82-4__Katahdin__1.jpg,0,210,1879.333,2472.333
84,PA99N82-4__Katahdin__1.jpg,0,214,1879.333,2433.667
85,PA99N82-4__Katahdin__1.jpg,0,208,1851.333,2424.333
86,PA99N82-4__Katahdin__1.jpg,0,212,1822,2407
87,PA99N82-4__Katahdin__1.jpg,0,212,1808.667,2381.667
88,PA99N82-4__Katahdin__1.jpg,0,213,1770,2335
89,PA99N82-4__Katahdin__1.jpg,0,213,1744.667,2292.333
90,PA99N82-4__Katahdin__1.jpg,0,215,1678,2281.667
91,PA99N82-4__Katahdin__1.jpg,0,215,1639.333,2313.667
92,PA99N82-4__Katahdin__1.jpg,0,214,1639.333,2344.333
93,PA99N82-4__Katahdin__1.jpg,0,214,1611.333,2363
94,PA99N82-4__Katahdin__1.jpg,0,214,1588.667,2359
