 ,Label,Area,Mean,X,Y
1,PA99N82-4__Katahdin__1.jpg,0,153,1506,2392.667
2,PA99N82-4__Katahdin__1.jpg,0,156,1508.667,2399.333
3,PA99N82-4__Katahdin__1.jpg,0,158,1517.333,2399.333
4,PA99N82-4__Katahdin__1.jpg,0,147,1523.333,2405.667
5,PA99N82-4__Katahdin__1.jpg,0,126,1531.667,2408.333
6,PA99N82-4__Katahdin__1.jpg,0,153,1538.667,2404.667
7,PA99N82-4__Katahdin__1.jpg,0,221,1538.333,2395.333
8,PA99N82-4__Katahdin__1.jpg,0,211,1556.333,2441.333
9,PA99N82-4__Katahdin__1.jpg,0,140,1555,2450.667
10,PA99N82-4__Katahdin__1.jpg,0,142,1557.667,2456.667
11,PA99N82-4__Katahdin__1.jpg,0,168,1567,2455.333
12,PA99N82-4__Katahdin__1.jpg,0,200,1570,2448.333
13,PA99N82-4__Katahdin__1.jpg,0,169,1628,2434
14,PA99N82-4__Katahdin__1.jpg,0,133,1632.333,2440.333
15,PA99N82-4__Katahdin__1.jpg,0,175,1643.333,2440.667
16,PA99N82-4__Katahdin__1.jpg,0,176,1645,2435
17,PA99N82-4__Katahdin__1.jpg,0,181,1647.667,2421
18,PA99N82-4__Katahdin__1.jpg,0,214,1697.667,2429.333
19,PA99N82-4__Katahdin__1.jpg,0,159,1699,2436
20,PA99N82-4__Katahdin__1.jpg,0,155,1708,2439
21,PA99N82-4__Katahdin__1.jpg,0,178,1713.333,2437.333
22,PA99N82-4__Katahdin__1.jpg,0,194,1714.667,2430
23,PA99N82-4__Katahdin__1.jpg,0,173,1976.333,2932.333
24,PA99N82-4__Katahdin__1.jpg,0,142,1980.667,2938
25,PA99N82-4__Katahdin__1.jpg,0,141,1990,2937.667
26,PA99N82-4__Katahdin__1.jpg,0,145,1992.667,2935
27,PA99N82-4__Katahdin__1.jpg,0,140,1993,2924
28,PA99N82-4__Katahdin__1.jpg,0,132,2000,2926.333
29,PA99N82-4__Katahdin__1.jpg,0,141,2005.333,2923
30,PA99N82-4__Katahdin__1.jpg,0,184,2073.667,2874.667
31,PA99N82-4__Katahdin__1.jpg,0,160,2075,2881
32,PA99N82-4__Katahdin__1.jpg,0,138,2084,2886
33,PA99N82-4__Katahdin__1.jpg,0,179,2090,2883.333
34,PA99N82-4__Katahdin__1.jpg,0,162,2101,2869
35,PA99N82-4__Katahdin__1.jpg,0,130,2106.667,2875.333
36,PA99N82-4__Katahdin__1.jpg,0,148,2112.333,2879.667
37,PA99N82-4__Katahdin__1.jpg,0,175,1821.333,2948
38,PA99N82-4__Katahdin__1.jpg,0,155,1832.333,2952.667
39,PA99N82-4__Katahdin__1.jpg,0,134,1836,2947.667
40,PA99N82-4__Katahdin__1.jpg,0,184,1841,2944
41,PA99N82-4__Katahdin__1.jpg,0,192,1855.333,2929.333
42,PA99N82-4__Katahdin__1.jpg,0,146,1858.333,2936
43,PA99N82-4__Katahdin__1.jpg,0,113,1865.333,2938.667
44,PA99N82-4__Katahdin__1.jpg,0,158,1872.333,2937.333
45,PA99N82-4__Katahdin__1.jpg,0,161,1900.333,2924
46,PA99N82-4__Katahdin__1.jpg,0,128,1904.333,2928
47,PA99N82-4__Katahdin__1.jpg,0,139,1912,2928.667
48,PA99N82-4__Katahdin__1.jpg,0,158,1912.667,2940.667
49,PA99N82-4__Katahdin__1.jpg,0,117,1920.667,2945
50,PA99N82-4__Katahdin__1.jpg,0,141,1487.667,3161.333
51,PA99N82-4__Katahdin__1.jpg,0,128,1495,3165.333
52,PA99N82-4__Katahdin__1.jpg,0,140,1499.333,3162.333
53,PA99N82-4__Katahdin__1.jpg,0,149,1520,3158.667
54,PA99N82-4__Katahdin__1.jpg,0,127,1528,3162.333
55,PA99N82-4__Katahdin__1.jpg,0,143,1532,3159.667
56,PA99N82-4__Katahdin__1.jpg,0,148,1526,3139
57,PA99N82-4__Katahdin__1.jpg,0,127,1531.667,3143.667
58,PA99N82-4__Katahdin__1.jpg,0,153,1540,3143
59,PA99N82-4__Katahdin__1.jpg,0,150,1543.333,3138.333
60,PA99N82-4__Katahdin__1.jpg,0,182,1544,3131.333
61,PA99N82-4__Katahdin__1.jpg,0,140,1544,3123
62,PA99N82-4__Katahdin__1.jpg,0,181,1575.333,3132.333
63,PA99N82-4__Katahdin__1.jpg,0,143,1579.667,3137.333
64,PA99N82-4__Katahdin__1.jpg,0,141,1587.667,3135
65,PA99N82-4__Katahdin__1.jpg,0,209,1591,3129.667
66,PA99N82-4__Katahdin__1.jpg,0,202,1689.667,3111.667
67,PA99N82-4__Katahdin__1.jpg,0,162,1692.667,3118.333
68,PA99N82-4__Katahdin__1.jpg,0,140,1701,3117.667
69,PA99N82-4__Katahdin__1.jpg,0,139,1704.333,3114.667
70,PA99N82-4__Katahdin__1.jpg,0,162,1695,3082.333
71,PA99N82-4__Katahdin__1.jpg,0,144,1698.333,3086.667
72,PA99N82-4__Katahdin__1.jpg,0,141,1707.333,3088.333
73,PA99N82-4__Katahdin__1.jpg,0,157,1710.333,3085.667
74,PA99N82-4__Katahdin__1.jpg,0,188,1931.333,3158.333
75,PA99N82-4__Katahdin__1.jpg,0,164,1937.667,3163
76,PA99N82-4__Katahdin__1.jpg,0,158,1946.667,3163
77,PA99N82-4__Katahdin__1.jpg,0,163,1949.667,3160.333
78,PA99N82-4__Katahdin__1.jpg,0,127,1956,3106.667
79,PA99N82-4__Katahdin__1.jpg,0,160,1954,3111.333
80,PA99N82-4__Katahdin__1.jpg,0,142,1967.333,3114
81,PA99N82-4__Katahdin__1.jpg,0,173,1972.333,3112.333
82,PA99N82-4__Katahdin__1.jpg,0,185,2009.667,3124.333
83,PA99N82-4__Katahdin__1.jpg,0,187,2023,3131
84,PA99N82-4__Katahdin__1.jpg,0,123,2027.333,3126
85,PA99N82-4__Katahdin__1.jpg,0,192,2031,3122.667
86,PA99N82-4__Katahdin__1.jpg,0,165,2169,3162.333
87,PA99N82-4__Katahdin__1.jpg,0,124,2177,3166.333
88,PA99N82-4__Katahdin__1.jpg,0,171,2183.667,3164.667
89,PA99N82-4__Katahdin__1.jpg,0,180,2185.333,3160.333
90,PA99N82-4__Katahdin__1.jpg,0,178,2195.667,3065.333
91,PA99N82-4__Katahdin__1.jpg,0,137,2199,3069.333
92,PA99N82-4__Katahdin__1.jpg,0,137,2207.667,3068.667
93,PA99N82-4__Katahdin__1.jpg,0,189,2212,3067
94,PA99N82-4__Katahdin__1.jpg,0,155,2196.333,3106
95,PA99N82-4__Katahdin__1.jpg,0,126,2203,3109.667
96,PA99N82-4__Katahdin__1.jpg,0,160,2210.333,3109
97,PA99N82-4__Katahdin__1.jpg,0,179,2196.333,2977.333
98,PA99N82-4__Katahdin__1.jpg,0,177,2199.667,2983
99,PA99N82-4__Katahdin__1.jpg,0,152,2210,2983
100,Red,0,150,2215.333,2977.333
101,PA99N82-4__Katahdin__1.jpg,0,120,1506,2392.667
102,PA99N82-4__Katahdin__1.jpg,0,139,1508.667,2399.333
103,PA99N82-4__Katahdin__1.jpg,0,141,1517.333,2399.333
104,PA99N82-4__Katahdin__1.jpg,0,137,1523.333,2405.667
105,PA99N82-4__Katahdin__1.jpg,0,114,1531.667,2408.333
106,PA99N82-4__Katahdin__1.jpg,0,131,1538.667,2404.667
107,PA99N82-4__Katahdin__1.jpg,0,217,1538.333,2395.333
108,PA99N82-4__Katahdin__1.jpg,0,197,1556.333,2441.333
109,PA99N82-4__Katahdin__1.jpg,0,119,1555,2450.667
110,PA99N82-4__Katahdin__1.jpg,0,129,1557.667,2456.667
111,PA99N82-4__Katahdin__1.jpg,0,147,1567,2455.333
112,PA99N82-4__Katahdin__1.jpg,0,188,1570,2448.333
113,PA99N82-4__Katahdin__1.jpg,0,152,1628,2434
114,PA99N82-4__Katahdin__1.jpg,0,104,1632.333,2440.333
115,PA99N82-4__Katahdin__1.jpg,0,166,1643.333,2440.667
116,PA99N82-4__Katahdin__1.jpg,0,165,1645,2435
117,PA99N82-4__Katahdin__1.jpg,0,169,1647.667,2421
