 ,Label,Area,Mean,X,Y
1,PA99N82-4__Katahdin__1.jpg,0,138,1555.667,1702.667
2,PA99N82-4__Katahdin__1.jpg,0,152,1553,1708
3,PA99N82-4__Katahdin__1.jpg,0,164,1643.667,1659.333
4,PA99N82-4__Katahdin__1.jpg,0,156,1647.667,1662.667
5,PA99N82-4__Katahdin__1.jpg,0,151,1652.333,1672.667
6,PA99N82-4__Katahdin__1.jpg,0,154,1657,1676.667
7,PA99N82-4__Katahdin__1.jpg,0,162,1670.333,1668.667
8,PA99N82-4__Katahdin__1.jpg,0,149,1829,1756.667
9,PA99N82-4__Katahdin__1.jpg,0,151,1835,1772.667
10,PA99N82-4__Katahdin__1.jpg,0,40,1897.667,1788
11,PA99N82-4__Katahdin__1.jpg,0,165,1925,1781.333
12,PA99N82-4__Katahdin__1.jpg,0,153,1851,1715.333
13,PA99N82-4__Katahdin__1.jpg,0,143,1829,1694.667
14,PA99N82-4__Katahdin__1.jpg,0,146,1810.333,1700.667
15,PA99N82-4__Katahdin__1.jpg,0,134,1850.333,1686
16,PA99N82-4__Katahdin__1.jpg,0,153,1873,1688.667
17,PA99N82-4__Katahdin__1.jpg,0,143,1871.667,1672.667
18,PA99N82-4__Katahdin__1.jpg,0,134,1863.667,1661.333
19,PA99N82-4__Katahdin__1.jpg,0,177,1868.333,1625.333
20,PA99N82-4__Katahdin__1.jpg,0,153,1939,1594.667
21,PA99N82-4__Katahdin__1.jpg,0,158,1957,1607.333
22,PA99N82-4__Katahdin__1.jpg,0,152,1966.333,1649.333
23,PA99N82-4__Katahdin__1.jpg,0,146,2000.333,1698.667
24,PA99N82-4__Katahdin__1.jpg,0,124,1991.667,1700
25,PA99N82-4__Katahdin__1.jpg,0,140,1993.667,1724.667
26,PA99N82-4__Katahdin__1.jpg,0,98,1557,2068
27,PA99N82-4__Katahdin__1.jpg,0,151,1591.667,2082
28,PA99N82-4__Katahdin__1.jpg,0,166,1614.333,2076
29,PA99N82-4__Katahdin__1.jpg,0,157,1669.667,2100
30,PA99N82-4__Katahdin__1.jpg,0,149,1683.667,2098
31,PA99N82-4__Katahdin__1.jpg,0,156,1670.333,2080
32,PA99N82-4__Katahdin__1.jpg,0,163,1675,2052
33,PA99N82-4__Katahdin__1.jpg,0,160,1703.667,2006
34,PA99N82-4__Katahdin__1.jpg,0,170,1753.667,1954
35,PA99N82-4__Katahdin__1.jpg,0,146,1772.333,1950.667
36,PA99N82-4__Katahdin__1.jpg,0,155,1790.333,1956
37,PA99N82-4__Katahdin__1.jpg,0,161,1809.667,1934
38,PA99N82-4__Katahdin__1.jpg,0,168,1831,1943.333
39,PA99N82-4__Katahdin__1.jpg,0,173,1851.667,1945.333
40,PA99N82-4__Katahdin__1.jpg,0,149,1869.667,1968.667
41,PA99N82-4__Katahdin__1.jpg,0,144,1891.667,1966.667
42,PA99N82-4__Katahdin__1.jpg,0,145,1901,1942.667
43,PA99N82-4__Katahdin__1.jpg,0,153,1899,1930
44,PA99N82-4__Katahdin__1.jpg,0,151,1855.667,1904
45,PA99N82-4__Katahdin__1.jpg,0,150,1845.667,1887.333
46,PA99N82-4__Katahdin__1.jpg,0,134,1858.333,1880.667
47,PA99N82-4__Katahdin__1.jpg,0,148,1862.333,1860.667
48,PA99N82-4__Katahdin__1.jpg,0,161,1859.667,1832
49,PA99N82-4__Katahdin__1.jpg,0,152,1839,1838.667
50,PA99N82-4__Katahdin__1.jpg,0,157,1834.333,1826.667
51,PA99N82-4__Katahdin__1.jpg,0,158,1504.333,2185.667
52,PA99N82-4__Katahdin__1.jpg,0,100,1534.333,2191.667
53,PA99N82-4__Katahdin__1.jpg,0,172,1541.667,2177.667
54,PA99N82-4__Katahdin__1.jpg,0,179,1566.333,2159
55,PA99N82-4__Katahdin__1.jpg,0,174,1600.333,2209.667
56,PA99N82-4__Katahdin__1.jpg,0,146,1594.333,2235.667
57,PA99N82-4__Katahdin__1.jpg,0,158,1587.667,2263.667
58,PA99N82-4__Katahdin__1.jpg,0,166,1571,2271.667
59,PA99N82-4__Katahdin__1.jpg,0,175,1488.333,2295.667
60,PA99N82-4__Katahdin__1.jpg,0,169,1489.667,2347
61,PA99N82-4__Katahdin__1.jpg,0,166,1490.333,2365
62,PA99N82-4__Katahdin__1.jpg,0,169,1509,2391.667
63,PA99N82-4__Katahdin__1.jpg,0,147,1532.333,2400.333
64,PA99N82-4__Katahdin__1.jpg,0,165,1721.333,2555
65,PA99N82-4__Katahdin__1.jpg,0,139,1736.667,2567
66,PA99N82-4__Katahdin__1.jpg,0,152,1787.333,2568.333
67,PA99N82-4__Katahdin__1.jpg,0,170,1785.333,2602.333
68,PA99N82-4__Katahdin__1.jpg,0,160,1760,2615
69,PA99N82-4__Katahdin__1.jpg,0,153,1734,2644.333
70,PA99N82-4__Katahdin__1.jpg,0,146,1775.333,2639
71,PA99N82-4__Katahdin__1.jpg,0,143,1806.667,2669
72,PA99N82-4__Katahdin__1.jpg,0,135,1827.333,2668.333
73,PA99N82-4__Katahdin__1.jpg,0,159,1829.333,2653.667
74,PA99N82-4__Katahdin__1.jpg,0,148,1844,2661
75,PA99N82-4__Katahdin__1.jpg,0,157,1860.667,2625.667
76,PA99N82-4__Katahdin__1.jpg,0,95,1872.667,2603.667
77,PA99N82-4__Katahdin__1.jpg,0,155,1883.333,2646.333
78,PA99N82-4__Katahdin__1.jpg,0,155,1906.667,2677
79,PA99N82-4__Katahdin__1.jpg,0,160,1942,2709.667
80,PA99N82-4__Katahdin__1.jpg,0,144,1954,2686.333
81,PA99N82-4__Katahdin__1.jpg,0,150,1964,2723
82,PA99N82-4__Katahdin__1.jpg,0,158,1986.667,2721
83,PA99N82-4__Katahdin__1.jpg,0,159,2024.667,2713.667
84,PA99N82-4__Katahdin__1.jpg,0,156,2044.667,2691.667
85,PA99N82-4__Katahdin__1.jpg,0,102,2004.667,2666.333
86,PA99N82-4__Katahdin__1.jpg,0,155,2001.333,2651.667
87,PA99N82-4__Katahdin__1.jpg,0,141,1986.667,2597
88,PA99N82-4__Katahdin__1.jpg,0,147,1934,2585
89,PA99N82-4__Katahdin__1.jpg,0,141,1447,2816.667
90,PA99N82-4__Katahdin__1.jpg,0,153,1459,2787.333
91,PA99N82-4__Katahdin__1.jpg,0,151,1495,2800
92,PA99N82-4__Katahdin__1.jpg,0,139,1511,2807.333
93,PA99N82-4__Katahdin__1.jpg,0,146,1469.667,2837.333
94,PA99N82-4__Katahdin__1.jpg,0,161,1453.667,2868
95,PA99N82-4__Katahdin__1.jpg,0,155,1543,2884.667
96,PA99N82-4__Katahdin__1.jpg,0,150,1580.333,2897.333
97,PA99N82-4__Katahdin__1.jpg,0,178,1605,2878
98,PA99N82-4__Katahdin__1.jpg,0,157,1634.333,2858
99,PA99N82-4__Katahdin__1.jpg,0,144,1591.667,2820
100,Red,0,150,1617.667,2804
101,PA99N82-4__Katahdin__1.jpg,0,90,1555.667,1702.667
102,PA99N82-4__Katahdin__1.jpg,0,111,1553,1708
103,PA99N82-4__Katahdin__1.jpg,0,115,1643.667,1659.333
104,PA99N82-4__Katahdin__1.jpg,0,110,1647.667,1662.667
105,PA99N82-4__Katahdin__1.jpg,0,114,1652.333,1672.667
106,PA99N82-4__Katahdin__1.jpg,0,107,1657,1676.667
107,PA99N82-4__Katahdin__1.jpg,0,110,1670.333,1668.667
108,PA99N82-4__Katahdin__1.jpg,0,100,1829,1756.667
109,PA99N82-4__Katahdin__1.jpg,0,109,1835,1772.667
110,PA99N82-4__Katahdin__1.jpg,0,30,1897.667,1788
111,PA99N82-4__Katahdin__1.jpg,0,126,1925,1781.333
112,PA99N82-4__Katahdin__1.jpg,0,119,1851,1715.333
113,PA99N82-4__Katahdin__1.jpg,0,96,1829,1694.667
114,PA99N82-4__Katahdin__1.jpg,0,113,1810.333,1700.667
115,PA99N82-4__Katahdin__1.jpg,0,86,1850.333,1686
116,PA99N82-4__Katahdin__1.jpg,0,107,1873,1688.667
117,PA99N82-4__Katahdin__1.jpg,0,95,1871.667,1672.667
118,PA99N82-4__Katahdin__1.jpg,0,95,1863.667,1661.333
119,PA99N82-4__Katahdin__1.jpg,0,125,1868.333,1625.333
120,PA99N82-4__Katahdin__1.jpg,0,112,1939,1594.667
121,PA99N82-4__Katahdin__1.jpg,0,114,1957,1607.333
122,PA99N82-4__Katahdin__1.jpg,0,106,1966.333,1649.333
123,PA99N82-4__Katahdin__1.jpg,0,97,2000.333,1698.667
124,PA99N82-4__Katahdin__1.jpg,0,82,1991.667,1700
125,PA99N82-4__Katahdin__1.jpg,0,98,1993.667,1724.667
126,PA99N82-4__Katahdin__1.jpg,0,54,1557,2068
127,PA99N82-4__Katahdin__1.jpg,0,97,1591.667,2082
128,PA99N82-4__Katahdin__1.jpg,0,119,1614.333,2076
129,PA99N82-4__Katahdin__1.jpg,0,107,1669.667,2100
130,PA99N82-4__Katahdin__1.jpg,0,98,1683.667,2098
131,PA99N82-4__Katahdin__1.jpg,0,121,1670.333,2080
132,PA99N82-4__Katahdin__1.jpg,0,108,1675,2052
133,PA99N82-4__Katahdin__1.jpg,0,115,1703.667,2006
134,PA99N82-4__Katahdin__1.jpg,0,120,1753.667,1954
135,PA99N82-4__Katahdin__1.jpg,0,95,1772.333,1950.667
136,PA99N82-4__Katahdin__1.jpg,0,113,1790.333,1956
137,PA99N82-4__Katahdin__1.jpg,0,109,1809.667,1934
138,PA99N82-4__Katahdin__1.jpg,0,114,1831,1943.333
139,PA99N82-4__Katahdin__1.jpg,0,121,1851.667,1945.333
140,PA99N82-4__Katahdin__1.jpg,0,107,1869.667,1968.667
141,PA99N82-4__Katahdin__1.jpg,0,97,1891.667,1966.667
142,PA99N82-4__Katahdin__1.jpg,0,94,1901,1942.667
